radius	twist	chord	airfoil
0.21410622	0	0.195	Cylinder
0.22639182	0	0.195	Cylinder
0.246757883	0	0.09	Cylinder
0.275040433	0	0.09	Cylinder
0.311011755	0.006630932	0.092996185	Transi_CD_1
0.35438223	0.095931243	0.140272457	Transi_CD_2
0.404802666	0.213605777	0.201939416	Transi_CD_3
0.461867105	0.285815259	0.239815633	DU91-W2-250
0.525116099	0.271953303	0.23371378	DU91-W2-250
0.594040402	0.243726317	0.221295306	DU91-W2-250
0.668085078	0.213426272	0.207982928	DU91-W2-250
0.746653965	0.188196606	0.197194693	DU91-W2-250
0.829114467	0.162781233	0.186382292	DU91-W2-250
0.914802666	0.141856996	0.176403942	DU91-W2-250
1.003028647	0.127503995	0.167934294	DU91-W2-250
1.093082069	0.111414987	0.160502992	Transi_DR_1
1.184237873	0.099952376	0.153133824	Transi_DR_2
1.275762127	0.091051127	0.1466239	RISOE
1.366917931	0.081900252	0.140901692	RISOE
1.456971353	0.071310119	0.135050061	RISOE
1.545197334	0.066211801	0.130518602	Transi_RN_1
1.630885533	0.059912985	0.125677685	Transi_RN_2
1.713346035	0.052612827	0.120841072	NACA64-418
1.791914922	0.046060494	0.116472667	NACA64-418
1.865959598	0.039866995	0.112062353	NACA64-418
1.934883901	0.034101347	0.107816892	NACA64-418
1.998132895	0.028613029	0.103770278	NACA64-418
2.055197334	0.023404554	0.100174587	NACA64-418
2.10561777	0.01860719	0.097238584	NACA64-418
2.148988245	0.014053156	0.093742042	NACA64-418
2.184959567	0.009391209	0.086093624	NACA64-418
2.213242117	0.005283321	0.065769018	NACA64-418
2.23360818	0.002356045	0.039755463	NACA64-418
2.24589378	0.000590199	0.01849858	NACA64-418

