# Result from Castor
# Rigid turbine, rated condition, no pre-bend and pre-sweep
# U_wind = 15.0600 m/s, omega = 44.5164 rad/s
#
# - r: section radius, m
# - Fn, Ft: lineic normal and tangential forces, N/m
########################################################################
radius,Fn,Ft
0.214106220579,12.7880704,6.98211868
0.226391820442,13.1462466,7.56428485
0.246757882708,6.39546841,3.96709509
0.275040432189,7.08265319,4.71989341
0.311011754392,11.6067889,5.54006548
0.354382230372,32.6933887,7.49219182
0.404802666088,57.6837059,8.26600501
0.461867105131,90.2716725,-11.2230051
0.525116099474,110.537935,-15.9865878
0.594040401469,127.886388,-18.5263445
0.66808507845,145.099467,-20.9371928
0.746653964395,164.862034,-22.3814698
0.829114467705,186.156751,-24.2568629
0.914802666068,208.809139,-26.1354406
1.00302864699,233.275045,-27.9963439
1.09308207266,268.909884,-31.669025
1.18423787431,305.655537,-35.1036277
1.2757621233,336.441461,-37.5829325
1.36691793481,363.487682,-39.7110012
1.45697134865,390.08196,-42.0708142
1.54519732958,411.406408,-43.6137418
1.63088553582,431.506674,-45.7426735
1.71334603618,452.450404,-48.084207
1.79191492409,473.298616,-49.9175812
1.8659595991,491.486563,-51.7089597
1.934883904,506.088204,-53.091082
1.99813289841,516.12361,-53.7889145
2.05519733552,520.384195,-53.2255342
2.10561776536,516.304119,-50.5324491
2.14898825019,497.50746,-45.5461522
2.18495956541,455.087505,-39.3108108
2.21324212076,377.781006,-35.8808013
2.23360817717,268.341892,-34.1739936
