yaw,r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN,Fn_Castor,Ft_Castor
5.0,0.211940703974,0.0,3.9914588932018567,2.4430449859422643,8.582593111611006,5.092240132094975,9.49566682,5.23088261
5.0,0.211940703974,10.0,4.013357349923161,2.453881113246568,8.610920195586605,5.140917181119992,9.52506896,5.27593214
5.0,0.211940703974,20.0,4.038517173741785,2.4769250549630453,8.647181174014294,5.212666005374158,9.56364356,5.34554873
5.0,0.211940703974,30.0,4.0662319015394,2.511613922155385,8.690382255789261,5.3057053756211845,9.61042117,5.43804446
5.0,0.211940703974,40.0,4.095724712483958,2.557071313032815,8.739380131093752,5.417630124818939,9.66407018,5.55110272
5.0,0.211940703974,50.0,4.126163070053938,2.6121129840084976,8.792834309730786,5.545513885978828,9.72321208,5.68181137
5.0,0.211940703974,60.0,4.156674949757685,2.6752597757588545,8.849177404614679,5.685873764714412,9.78620263,5.82667714
5.0,0.211940703974,70.0,4.186367642244986,2.7447599613891787,8.906488499007274,5.834672188280616,9.8513513,5.98167374
5.0,0.211940703974,80.0,4.21434984616191,2.818622871362057,8.963109599223069,5.98757144168179,9.91658703,6.1423267
5.0,0.211940703974,90.0,4.239757214913419,2.894665025188024,9.040400113198572,6.146322758040731,9.97958311,6.30372221
5.0,0.211940703974,100.0,4.261780807659406,2.9705690798167366,9.090228318106226,6.29352395016137,10.0382158,6.46081358
5.0,0.211940703974,110.0,4.279697167174142,3.0439547515113645,9.133918701669687,6.430345245975187,10.0905787,6.60851482
5.0,0.211940703974,120.0,4.292898156992015,3.112459593669884,9.16985846391836,6.552146563133902,10.1349841,6.74188564
5.0,0.211940703974,130.0,4.3009183553689,3.173826267049547,9.196712201922956,6.654732948839457,10.1700542,6.85640712
5.0,0.211940703974,140.0,4.303457784716903,3.2259918835757824,9.21364926792959,6.734532344391138,10.1943774,6.94798872
5.0,0.211940703974,150.0,4.300398048541047,3.2671742870171223,9.220006634277096,6.788661001311198,10.2066876,7.01321992
5.0,0.211940703974,160.0,4.291810493188074,3.2959498598897565,9.21575768205507,6.815300049157936,10.2065705,7.04974568
5.0,0.211940703974,170.0,4.2779557105662,3.31131766829382,9.201051459736751,6.81356530226211,10.1943975,7.05636839
5.0,0.211940703974,180.0,4.2592744368833895,3.3127454695123295,9.176401438298385,6.783512356210725,10.1707356,7.03291094
5.0,0.211940703974,190.0,4.236370574553557,3.300194253104442,9.142718926039114,6.726325971932702,10.1364335,6.98026059
5.0,0.211940703974,200.0,4.209987586958483,3.274119464255552,9.101240115318705,6.644123125108966,10.0928021,6.90039617
5.0,0.211940703974,210.0,4.180979841103392,3.2354487363829154,9.053301973882578,6.539812971620489,10.0413909,6.79623018
5.0,0.211940703974,220.0,4.150280593148679,3.185537686152395,9.000549145885236,6.417120667265306,9.98360943,6.67137527
5.0,0.211940703974,230.0,4.118868254927256,3.126106935927228,8.944711202648937,6.280268761624782,9.92119134,6.53010165
5.0,0.211940703974,240.0,4.087732402195693,3.0591648653389187,8.887401340393895,6.133813912872175,9.85642061,6.37725215
5.0,0.211940703974,250.0,4.057840757053213,2.9869215093413395,8.830312497130876,5.982454531972128,9.79155058,6.2178947
5.0,0.211940703974,260.0,4.030108162560917,2.9116994015825677,8.775096817313157,5.83078378741532,9.72846035,6.05701505
5.0,0.211940703974,270.0,4.005368409665475,2.835846949063832,8.723380448109808,5.68330025121715,9.66885811,5.89943235
5.0,0.211940703974,280.0,3.9843496828306173,2.7616591296012065,8.676579964138083,5.544204121738901,9.61415657,5.74969982
5.0,0.211940703974,290.0,3.9676543319094004,2.691309025945791,8.635840959533029,5.417345227494292,9.56579589,5.61197563
5.0,0.211940703974,300.0,3.9557435979155775,2.6267921312603484,8.602132593402535,5.306157325955955,9.52529088,5.49006071
5.0,0.211940703974,310.0,3.9489277597475554,2.5698837218315536,8.576434353261494,5.213588949381773,9.49379777,5.38716805
5.0,0.211940703974,320.0,3.947361891440068,2.5221081524074744,8.559336909201756,5.141958999178809,9.47194485,5.30590589
5.0,0.211940703974,330.0,3.9510470345609576,2.4847179060430764,8.55122849145293,5.093027156714155,9.46024471,5.24827684
5.0,0.211940703974,340.0,3.9598361590678595,2.458679752877462,8.55242676794834,5.068077916797287,9.45896433,5.21571058
5.0,0.211940703974,350.0,3.973443907058956,2.4446654534998182,8.562947229726063,5.067782100813993,9.46816909,5.20901726
5.0,0.219688749936,0.0,5.731463897500379,3.659306918983945,8.77909265479101,5.402030915514996,9.67777047,5.53888011
5.0,0.219688749936,10.0,5.746262624337673,3.6713790229122583,8.808299790140351,5.452068005831381,9.70824642,5.58511838
5.0,0.219688749936,20.0,5.767267922593601,3.7018495807920786,8.845721470107135,5.525835541188056,9.74809973,5.65652881
5.0,0.219688749936,30.0,5.793925557769341,3.749986837769626,8.890265509256352,5.621483699965036,9.79633059,5.75137635
5.0,0.219688749936,40.0,5.825535501466797,3.814607391150898,8.940754822370813,5.736531368225701,9.85157906,5.86729021
5.0,0.219688749936,50.0,5.861258346170682,3.894079849850601,8.99579058637512,5.867975189273523,9.91235536,6.0012744
5.0,0.219688749936,60.0,5.900124416815936,3.986335762577435,9.053736861853665,6.012214778543925,9.97697849,6.14973703
5.0,0.219688749936,70.0,5.941047777370085,4.088891721472934,9.112599755144451,6.165097793478111,10.0436928,6.30856626
5.0,0.219688749936,80.0,5.982846975443759,4.198886614822877,9.170691452605112,6.322176642486816,10.1104389,6.47318211
5.0,0.219688749936,90.0,6.024273572557228,4.313137456513084,9.249688946280608,6.4852729134033495,10.1747308,6.63851759
5.0,0.219688749936,100.0,6.064048429609175,4.428216007810355,9.300672460229984,6.636434411568343,10.2343942,6.79939449
5.0,0.219688749936,110.0,6.1009045636926205,4.540546580210041,9.34529036515805,6.776905280482822,10.2875509,6.95063297
5.0,0.219688749936,120.0,6.133634371011018,4.646523138937879,9.3819155610972,6.901932375221329,10.3324768,7.0871646
5.0,0.219688749936,130.0,6.161138284320367,4.742641391197726,9.409170683919582,7.007199167190134,10.3678087,7.20437025
5.0,0.219688749936,140.0,6.182471593465379,4.825639274733862,9.426251955897657,7.089062202983811,10.3920654,7.29804942
5.0,0.219688749936,150.0,6.196886217560334,4.892637491225687,9.432496424448772,7.144561703598306,10.4040659,7.36475361
5.0,0.219688749936,160.0,6.203864624251659,4.941270725899185,9.427895773176015,7.171835746377641,10.4033411,7.40203787
5.0,0.219688749936,170.0,6.203143748744639,4.969800128270093,9.412629734934043,7.169998135200025,10.3903494,7.40869184
5.0,0.219688749936,180.0,6.19472755854751,4.977198545637769,9.387237679423018,7.13909496358179,10.3656945,7.38456226
5.0,0.219688749936,190.0,6.178887729975537,4.96320182475008,9.35266043692759,7.080363762035401,10.330313,7.33056476
5.0,0.219688749936,200.0,6.156152661947984,4.928322044473335,9.310150772981885,6.995959413535918,10.2854639,7.24870042
5.0,0.219688749936,210.0,6.127285695150874,4.87382154760333,9.26108671516329,6.888872590709962,10.2327974,7.14198041
5.0,0.219688749936,220.0,6.093253906975507,4.801649785827783,9.207122184801806,6.762912685217401,10.1737101,7.0140785
5.0,0.219688749936,230.0,6.055189220129491,4.714347942709701,9.150018844739597,6.6224105165016525,10.1099178,6.86936052
5.0,0.219688749936,240.0,6.014343819482914,4.61492873612126,9.091401079445816,6.472039394617441,10.0437913,6.71278562
5.0,0.219688749936,250.0,5.972042046621537,4.506740455731216,9.032984673521588,6.316615346930484,9.97763368,6.5495561
5.0,0.219688749936,260.0,5.929631054202503,4.3933249796791785,8.976456995083106,6.160851187464874,9.91331204,6.38476344
5.0,0.219688749936,270.0,5.888432550658619,4.278279168129638,8.923479910214027,6.009368548216656,9.85257484,6.22335592
5.0,0.219688749936,280.0,5.849697922342123,4.165127713706347,8.875530054009277,5.866492065512212,9.7968326,6.06998226
5.0,0.219688749936,290.0,5.814568837624093,4.05721343874327,8.833739763467714,5.736155152151654,9.74758185,5.92891404
5.0,0.219688749936,300.0,5.784045067021652,3.9576084795892057,8.799121716190767,5.621907597001741,9.7063794,5.80403981
5.0,0.219688749936,310.0,5.758960670509711,3.8690471684563144,8.772704751492265,5.526775558447748,9.67437166,5.69865552
5.0,0.219688749936,320.0,5.739968932199769,3.7938790927061476,8.755110845537487,5.453156903472801,9.65230801,5.61545296
5.0,0.219688749936,330.0,5.7275355501191845,3.7340390859800388,8.746748838619311,5.402850862224251,9.64060809,5.55646747
5.0,0.219688749936,340.0,5.7219387564148105,3.691029960153791,8.74797119407774,5.377196931055665,9.63960126,5.52316155
